nlpNodeId,linkReference,nlpReference,nlpLinkVersion
NLPL0000001,ACMNA075,NNNPV2.2,1
NLPL0000002,ACMNA073,NNNPV2.1,1
NLPL0000003,Narrative Scale 350,LRUnT3.6,1
NLPL0000004,Narrative Scale 360,LSInT1.3,1
NLPL0000005,Narrative Scale 300,LWCrT10.43,1
NLPL0000006,Narrative Scale 320,LWCrT10.8,1
NLPL0000007,Narrative Scale 400,LRPKW7.5,1
NLPL0000008,Narrative Scale 330,LWCrT10.30,1
NLPL0000009,Narrative Scale 420,LSSpK3.1,1
NLPL0000010,Persuasive Scale 280,LRUnT9.19,1
NLPL0000011,Persuasive Scale 220,LSInT6.1,1
NLPL0000012,Persuasive Scale 180,LSLiS6.7,1
NLPL0000013,Persuasive Scale 90,LWCrT11.1,1
NLPL0000014,Persuasive Scale 200,LWCrT2.4,1
NLPL0000015,Persuasive Scale 110,LSInT5.4,1
NLPL0000016,Persuasive Scale 185,LRPKW7.3,1
NLPL0000017,Persuasive Scale 170,LRPKW2.1,1
NLPL0000018,Persuasive Scale 185,LWCrT9.12,1
NLPL0000019,Persuasive Scale 170,LWCrT1.1,1
NLPL0000020,Persuasive Scale 170,LSInT6.4,1
NLPL0000021,ACMNA075,NNAdS7.4,1
NLPL0000022,ACMNA073,NMMeT1.1,1
NLPL0000023,ACMNA071,NMMeT1.2,1
NLPL0000024,ACMNA069,NMMeT1.3,1
NLPL0000025,ACMNA067,NMMeT1.4,1
NLPL0000026,ACMNA065,NMMeT2.1,1
NLPL0000027,ACMNA063,NMMeT2.2,1
NLPL0000028,ACMNA061,NMMeT2.3,1
NLPL0000029,ACMNA059,NMMeT2.4,1
NLPL0000030,ACMNA057,NMMeT2.5,1
NLPL0000031,ACMNA055,NMMeT2.6,1
NLPL0000032,ACMNA053,NMMeT2.7,1
NLPL0000033,ACMNA051,NMMeT3.1,1
NLPL0000034,ACMNA049,NMMeT3.2,1
NLPL0000035,ACMNA047,NMMeT3.3,1
NLPL0000036,ACMNA045,NMMeT3.4,1
NLPL0000037,ACMNA043,NMMeT3.5,1
NLPL0000038,ACMNA041,NMMeT4.1,1
NLPL0000039,ACMNA039,NMMeT4.2,1
NLPL0000040,ACMNA037,NMMeT4.3,1
NLPL0000041,ACMNA035,NMMeT4.4,1
NLPL0000042,ACMNA033,NMMeT4.5,1
NLPL0000043,ACMNA031,NMMeT5.1,1
NLPL0000044,ACMNA029,NMMeT5.2,1
NLPL0000045,ACMNA027,NMMeT5.3,1
NLPL0000046,ACMNA025,NMMeT6.1,1
NLPL0000047,ACMNA023,NMMeT6.2,1
NLPL0000048,ACMNA021,NMMeT7.1,1
NLPL0000049,ACMNA019,NMPoL1.1,1
NLPL0000050,ACMNA017,NMPoL1.2,1
NLPL0000051,ACMNA015,NMPoL1.3,1
NLPL0000052,ACMNA013,NMPoL2.1,1
NLPL0000053,ACMNA011,NMPoL2.2,1
NLPL0000054,ACMNA009,NMPoL2.3,1
NLPL0000055,ACMNA007,NMPoL3.1,1
NLPL0000056,ACMNA005,NMPoL3.2,1
NLPL0000057,ACMNA003,NMPoL3.3,1
NLPL0000058,ACMNA001,NMPoL3.4,1
NLPL0000059,ACMNA005,NMPoL4.1,1
NLPL0000060,ACMSP117,NMPoL4.2,1
NLPL0000061,ACMSP116,NMPoL4.3,1
NLPL0000062,ACMSP115,NMPoL5.1,1
NLPL0000063,ACMSP114,NMPoL5.2,1
NLPL0000064,ACMSP113,NMPoL5.3,1
NLPL0000065,ACMSP112,NMPoL5.4,1
NLPL0000066,ACMSP111,NMUGP1.1,1
NLPL0000067,ACMSP110,NMUGP1.2,1
NLPL0000068,ACMSP109,NMUGP1.3,1
NLPL0000069,ACMSP108,NMUGP1.4,1
NLPL0000070,ACMSP107,NMUGP2.1,1
NLPL0000071,ACMSP106,NMUGP2.2,1
NLPL0000072,ACMSP105,NMUGP2.3,1
NLPL0000073,ACMSP104,NMUGP2.4,1
NLPL0000074,ACMSP103,NMUGP2.5,1
NLPL0000075,ACMSP102,NMUGP3.1,1
NLPL0000076,ACMSP101,NMUGP3.2,1
NLPL0000077,ACMSP100,NMUGP3.3,1
NLPL0000078,ACMSP99,NMUGP3.4,1
NLPL0000079,ACMSP98,NMUGP3.5,1
NLPL0000080,ACMSP97,NMUGP3.6,1
NLPL0000081,ACMSP96,NMUGP3.7,1
NLPL0000082,ACMSP95,NMUGP4.1,1
NLPL0000083,ACMSP94,NMUGP4.2,1
NLPL0000084,ACMSP93,NMUGP4.3,1
NLPL0000085,ACMSP92,NMUGP4.4,1
NLPL0000086,ACMSP91,NMUGP4.5,1
NLPL0000087,ACMSP90,NMUGP4.6,1
NLPL0000088,ACMSP89,NMUGP4.7,1
NLPL0000089,ACMSP88,NMUGP4.8,1
NLPL0000090,ACMSP87,NMUGP4.9,1
NLPL0000091,ACMSP86,NMUGP5.1,1
NLPL0000092,ACMSP85,NMUGP5.2,1
NLPL0000093,ACMSP84,NMUGP5.3,1
NLPL0000094,ACMSP83,NMUGP5.4,1
NLPL0000095,ACMSP82,NMUGP5.5,1
NLPL0000096,ACMSP81,NMUGP5.6,1
NLPL0000097,ACMSP80,NMUGP5.7,1
NLPL0000098,ACMSP79,NMUGP6.1,1
NLPL0000099,ACMSP78,NMUGP6.2,1
NLPL0000100,ACMSP77,NMUGP6.3,1
NLPL0000101,ACMSP76,NMUGP6.4,1
NLPL0000102,ACMSP75,NMUGP6.5,1
NLPL0000103,ACMSP74,NMUGP6.6,1
NLPL0000104,ACMSP73,NMUGP6.7,1
NLPL0000105,ACMSP72,NMUGP6.8,1
NLPL0000106,ACMSP71,NMUGP7.1,1
NLPL0000107,ACMSP70,NMUGP7.2,1
NLPL0000108,ACMSP69,NMUGP7.3,1
NLPL0000109,ACMSP68,NMUGP7.4,1
NLPL0000110,ACMSP67,NMUGP7.5,1
NLPL0000111,ACMSP66,NMUGP7.6,1
NLPL0000112,ACMSP65,NMUGP7.7,1
NLPL0000113,ACMSP64,NMUuM1.1,1
NLPL0000114,ACMSP63,NMUuM1.2,1
NLPL0000115,ACMSP62,NMUuM10.1,1
NLPL0000116,ACMSP61,NMUuM10.2,1
NLPL0000117,ACMSP60,NMUuM10.3,1
NLPL0000118,ACMSP59,NMUuM10.4,1
NLPL0000119,ACMSP58,NMUuM10.5,1
NLPL0000120,ACMSP57,NMUuM10.6,1
NLPL0000121,ACMSP56,NMUuM10.7,1
NLPL0000122,ACMSP55,NMUuM10.8,1
NLPL0000123,ACMSP54,NMUuM2.1,1
NLPL0000124,ACMSP53,NMUuM2.2,1
NLPL0000125,ACMSP52,NMUuM2.3,1
NLPL0000126,ACMSP51,NMUuM3.1,1
NLPL0000127,ACMSP50,NMUuM3.2,1
NLPL0000128,ACMSP49,NMUuM3.3,1
NLPL0000129,ACMSP48,NMUuM3.4,1
NLPL0000130,ACMSP47,NMUuM3.5,1
NLPL0000131,ACMSP46,NMUuM3.6,1
NLPL0000132,ACMSP45,NMUuM3.7,1
NLPL0000133,ACMSP44,NMUuM4.1,1
NLPL0000134,ACMSP43,NMUuM4.2,1
NLPL0000135,ACMSP42,NMUuM4.3,1
NLPL0000136,ACMSP41,NMUuM4.4,1
